report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
48;20210116154130;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4803135;2157840;0;0;4;-82;LTE;405;857;63;5318;16;351;-85;-12;-20;4;1;4;22.36328368;69.83595794;2300;38750;null;null;null;null;;;null;null;null;null;null;
49;20210116154131;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4803135;2157840;0;0;4;-82;LTE;405;857;63;5318;16;351;-85;-12;40;4;1;4;22.36329538;69.83595956;2300;38750;null;null;null;null;;;null;null;null;null;null;
50;20210116154132;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4803135;2157840;0;0;4;-82;LTE;405;857;63;5318;16;351;-85;-12;40;4;1;4;22.36330799;69.83596175;2300;38750;null;null;null;null;;;null;null;null;null;null;
51;20210116154133;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4803135;2157840;0;0;4;-85;LTE;405;857;63;5318;16;351;-81;-10;40;4;1;4;22.36332132;69.83596394;2300;38750;null;null;null;null;;;null;null;null;null;null;
52;20210116154134;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4803135;2157840;0;0;4;-85;LTE;405;857;63;5318;16;351;-81;-10;40;4;1;4;22.36333597;69.83596629;2300;38750;null;null;null;null;;;null;null;null;null;null;
53;20210116154135;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4803135;2157840;0;0;4;-85;LTE;405;857;63;5318;16;351;-81;-10;40;4;1;4;22.36335097;69.83596868;2300;38750;null;null;null;null;;;null;null;null;null;null;
54;20210116154136;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4803135;2157840;0;0;0;2147483647;LTE;405;857;63;5318;16;351;-81;-8;50;4;1;4;22.36336506;69.83597069;2300;38750;null;null;null;null;;;null;null;null;null;null;
55;20210116154137;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;DORMANT;4803135;2157840;0;0;0;2147483647;LTE;405;857;63;5318;16;351;-81;-8;100;4;1;4;22.36337887;69.83597221;2300;38750;null;null;null;null;;;null;null;null;null;null;
56;20210116154138;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;DORMANT;4803399;2158091;0;0;0;2147483647;LTE;405;857;63;5318;16;351;-81;-8;84;4;1;4;22.36339197;69.83597435;2300;38750;null;null;null;null;;;null;null;null;null;null;
57;20210116154139;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4803479;2158091;0;0;2;-77;LTE;405;857;63;5318;35;210;-67;-7;84;4;1;4;22.36340488;69.835975;1800;1444;null;null;null;null;;;null;null;null;null;null;
58;20210116154140;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;IN;4803479;2158091;0;0;2;-77;LTE;405;857;63;5318;35;210;-67;-7;172;4;1;4;22.36341686;69.8359747;1800;1444;null;null;null;null;;;null;null;null;null;null;
59;20210116154141;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4804958;2161357;0;0;2;-77;LTE;405;857;63;5318;35;210;-64;-8;172;4;1;4;22.36342818;69.83597386;1800;1444;null;null;null;null;;;null;null;null;null;null;
60;20210116154142;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4805801;2161552;0;0;2;-77;LTE;405;857;63;5318;35;210;-64;-8;172;4;1;4;22.3634408;69.83597125;1800;1444;null;null;null;null;;;null;null;null;null;null;
61;20210116154143;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4805801;2161552;0;0;2;-77;LTE;405;857;63;5318;35;210;-64;-8;172;4;1;4;22.36345421;69.83597001;1800;1444;null;null;null;null;;;null;null;null;null;null;
62;20210116154144;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4805801;2161552;0;0;2;-71;LTE;405;857;63;5318;35;210;-59;-9;172;4;1;4;22.36346813;69.83597069;1800;1444;null;null;null;null;;;null;null;null;null;null;
63;20210116154145;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810224;2167812;0;0;2;-71;LTE;405;857;63;5318;35;210;-59;-9;252;4;1;4;22.36348143;69.83597153;1800;1444;null;null;null;null;;;null;null;null;null;null;
64;20210116154146;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4810224;2167947;0;0;2;-71;LTE;405;857;63;5318;35;210;-59;-9;252;4;1;4;22.36349411;69.83597097;1800;1444;null;null;null;null;;;null;null;null;null;null;
65;20210116154147;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4810384;2168082;0;0;2;-71;LTE;405;857;63;5318;35;210;-64;-10;204;4;1;4;22.36350592;69.83596912;1800;1444;null;null;null;null;;;null;null;null;null;null;
66;20210116154148;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;IN;4810384;2168082;0;0;2;-71;LTE;405;857;63;5318;35;210;-64;-10;204;4;1;4;22.36351773;69.83596909;1800;1444;null;null;null;null;;;null;null;null;null;null;
67;20210116154149;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810384;2168082;0;0;2;-78;LTE;405;857;63;5318;35;210;-68;-9;192;4;1;4;22.36352902;69.83597115;1800;1444;null;null;null;null;;;null;null;null;null;null;
68;20210116154150;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810384;2168082;0;0;2;-78;LTE;405;857;63;5318;35;210;-68;-9;192;4;1;4;22.36353893;69.83597528;1800;1444;null;null;null;null;;;null;null;null;null;null;
69;20210116154151;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810384;2168082;0;0;2;-78;LTE;405;857;63;5318;35;210;-68;-9;192;4;1;4;22.3635495;69.83597793;1800;1444;null;null;null;null;;;null;null;null;null;null;
70;20210116154152;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810384;2168082;0;0;2;-77;LTE;405;857;63;5318;35;210;-71;-9;192;4;1;4;22.36356061;69.83597897;1800;1444;null;null;null;null;;;null;null;null;null;null;
71;20210116154153;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810384;2168082;0;0;2;-77;LTE;405;857;63;5318;35;210;-71;-9;192;4;1;4;22.36357073;69.83597975;1800;1444;null;null;null;null;;;null;null;null;null;null;
72;20210116154154;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810384;2168082;0;0;2;-77;LTE;405;857;63;5318;35;210;-71;-9;124;4;1;4;22.36357981;69.83598113;1800;1444;null;null;null;null;;;null;null;null;null;null;
73;20210116154155;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810384;2168082;0;0;2;-78;LTE;405;857;63;5318;35;210;-66;-9;124;4;1;4;22.36359074;69.83598305;1800;1444;null;null;null;null;;;null;null;null;null;null;
74;20210116154156;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810384;2168082;0;0;2;-78;LTE;405;857;63;5318;35;210;-66;-9;226;4;1;4;22.36360115;69.8359852;1800;1444;null;null;null;null;;;null;null;null;null;null;
75;20210116154157;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4810529;2168154;0;0;2;-78;LTE;405;857;63;5318;35;210;-66;-9;226;4;1;4;22.3636116;69.83598747;1800;1444;null;null;null;null;;;null;null;null;null;null;
76;20210116154158;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810529;2168154;0;0;2;-79;LTE;405;857;63;5318;35;210;-62;-8;198;4;1;4;22.36362243;69.83599084;1800;1444;null;null;null;null;;;null;null;null;null;null;
77;20210116154159;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810529;2168154;0;0;2;-79;LTE;405;857;63;5318;35;210;-62;-8;198;4;1;4;22.36363382;69.8359933;1800;1444;null;null;null;null;;;null;null;null;null;null;
78;20210116154200;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810529;2168154;0;0;2;-79;LTE;405;857;63;5318;35;210;-62;-8;198;4;1;4;22.36364622;69.83599419;1800;1444;null;null;null;null;;;null;null;null;null;null;
79;20210116154201;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810649;2168329;0;0;3;-76;LTE;405;857;63;5318;35;210;-65;-8;198;4;1;4;22.36365831;69.83599355;1800;1444;null;null;null;null;;;null;null;null;null;null;
80;20210116154202;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4810921;2168485;0;0;3;-76;LTE;405;857;63;5318;35;210;-65;-8;198;4;1;4;22.36367051;69.8359904;1800;1444;null;null;null;null;;;null;null;null;null;null;
81;20210116154203;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810921;2168485;0;0;3;-76;LTE;405;857;63;5318;35;210;-65;-8;254;4;1;4;22.36368399;69.83598637;1800;1444;null;null;null;null;;;null;null;null;null;null;
82;20210116154204;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810921;2168485;0;0;2;-78;LTE;405;857;63;5318;35;210;-63;-9;254;4;1;4;22.36369757;69.83598266;1800;1444;null;null;null;null;;;null;null;null;null;null;
83;20210116154205;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810921;2168485;0;0;2;-78;LTE;405;857;63;5318;35;210;-63;-9;256;4;1;4;22.3637114;69.83598117;1800;1444;null;null;null;null;;;null;null;null;null;null;
84;20210116154206;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4810921;2168485;0;0;2;-78;LTE;405;857;63;5318;35;210;-63;-9;256;4;1;4;22.36372516;69.83598086;1800;1444;null;null;null;null;;;null;null;null;null;null;
85;20210116154207;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811066;2168557;0;0;2;-73;LTE;405;857;63;5318;35;210;-59;-7;262;4;1;4;22.36373922;69.83598221;1800;1444;null;null;null;null;;;null;null;null;null;null;
86;20210116154208;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;INOUT;4811066;2168557;0;0;2;-73;LTE;405;857;63;5318;35;210;-59;-7;262;4;1;4;22.36375352;69.83598492;1800;1444;null;null;null;null;;;null;null;null;null;null;
87;20210116154209;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811066;2168557;0;0;2;-73;LTE;405;857;63;5318;35;210;-59;-7;262;4;1;4;22.36376747;69.83598796;1800;1444;null;null;null;null;;;null;null;null;null;null;
88;20210116154210;READY;Jio 4G;405857;0;LTE;IDLE;CONNECTED;NONE;4811066;2168557;0;0;3;-76;LTE;405;857;63;5318;35;210;-64;-7;262;4;1;4;22.36378011;69.83599365;1800;1444;null;null;null;null;;;null;null;null;null;null;
